Top of The Market Rating,Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
73.41,3,2,5,WBA,"Walgreens Boots Alliance, Inc.",18.72,Buy
73.4,3,1,8,BMCH,"BMC Stock Holdings, Inc.",13.69,Buy
73.4,3,2,4,DHR,Danaher Corporation,12.01,Buy
73.39,3,2,17,AA,Alcoa Corporation,18.56,Buy
73.39,3,2,3,EIG,Employers Holdings Inc,5.26,Buy
73.35,3,2,3,ALE,"Allete, Inc.",5.06,Buy
73.35,3,2,5,TEN,Tenneco Inc.,18.43,Buy
73.32,3,2,3,GD,General Dynamics Corporation,4.91,Buy
73.3,3,2,17,GOLF,Acushnet Holdings Corp.,18.19,Buy
73.3,3,2,3,EXC,Exelon Corporation,4.84,Buy
73.3,1,2,10,NNI,"Nelnet, Inc.",1.51,Buy
73.28,3,2,17,ELF,"e.l.f. Beauty, Inc.",18.11,Buy
73.26,3,2,7,HHC,Howard Hughes Corporation (The),31.29,Buy
73.24,2,2,7,LLY,Eli Lilly and Company,6.21,Buy
73.23,3,2,5,MINI,"Mobile Mini, Inc.",17.84,Buy
73.21,3,2,17,ESPR,"Esperion Therapeutics, Inc.",17.83,Buy
73.21,3,1,8,FTAI,Fortress Transportation and Infrastructure Investors LLC,12.72,Buy
73.21,3,2,4,PFE,"Pfizer, Inc.",11.04,Buy
73.19,3,2,6,MT,ArcelorMittal,24.3,Buy
73.18,3,2,17,NTNX,"Nutanix, Inc.",17.72,Buy
73.16,3,2,5,FIBK,"First Interstate BancSystem, Inc.",17.49,Buy
73.16,2,2,5,WBC,Wabco Holdings Inc.,-7.51,Buy
73.15,3,1,8,ERI,"Eldorado Resorts, Inc.",12.44,Buy
73.15,1,2,5,WGP,"Western Gas Equity Partners, LP",17.42,Hold
73.03,3,2,5,MTX,Minerals Technologies Inc.,16.84,Buy
73.02,3,2,4,BRKS,"Brooks Automation, Inc.",10.12,Buy
73.02,3,2,5,GEO,Geo Group Inc (The),16.78,Buy
73.0,3,2,3,ITRI,"Itron, Inc.",3.31,Buy
73.0,3,2,10,WPX,"WPX Energy, Inc.",51.81,Buy
72.95,3,2,5,CRTO,Criteo S.A.,16.44,Buy
72.95,3,2,5,TILE,"Interface, Inc.",16.4,Buy
72.92,3,1,8,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",11.26,Buy
72.91,3,2,9,NGL,NGL ENERGY PARTNERS LP,42.86,Buy
72.9,3,2,5,ADS,Alliance Data Systems Corporation,16.18,Buy
72.88,2,1,11,PTLA,"Portola Pharmaceuticals, Inc.",6.09,Buy
72.85,3,2,5,SLAB,"Silicon Laboratories, Inc.",15.93,Buy
72.85,2,2,6,SIRI,Sirius XM Holdings Inc.,-2.42,Buy
72.84,2,2,7,WMB,"Williams Companies, Inc. (The)",4.2,Buy
72.83,1,2,3,SLF,Sun Life Financial Inc.,2.46,Hold
72.82,3,2,5,UNP,Union Pacific Corporation,15.76,Buy
72.8,3,2,4,APD,"Air Products and Chemicals, Inc.",9.01,Buy
72.79,3,2,4,OSK,Oshkosh Corporation,8.94,Buy
72.77,2,2,6,CTLT,"Catalent, Inc.",-2.83,Buy
72.75,3,2,5,CVS,CVS Health Corporation,15.43,Buy
72.69,3,2,3,BFAM,Bright Horizons Family Solutions Inc.,1.77,Buy
72.66,3,2,5,SIVB,SVB Financial Group,14.99,Buy
72.66,3,2,4,DLPH,Delphi Automotive plc,8.29,Buy
72.64,3,2,3,CNC,Centene Corporation,1.54,Buy
72.62,3,2,5,KEY,KeyCorp,14.75,Buy
72.6,3,2,5,MGA,"Magna International, Inc.",14.66,Buy
72.59,3,2,5,MSTR,MicroStrategy Incorporated,14.64,Buy
72.59,3,2,5,TOT,Total S.A.,14.61,Buy
72.57,3,2,4,CDW,CDW Corporation,7.86,Buy
72.57,4,1,17,CWH,"Camping World Holdings, Inc.",15.29,Buy
72.56,3,2,5,KFY,Korn/Ferry International,14.45,Buy
72.55,3,2,3,RCL,Royal Caribbean Cruises Ltd.,1.09,Buy
72.54,3,2,6,PSXP,Phillips 66 Partners LP,21.01,Buy
72.52,3,2,5,MDLZ,"Mondelez International, Inc.",14.29,Buy
72.51,3,2,4,ATSG,"Air Transport Services Group, Inc",7.57,Buy
72.51,3,2,5,UHS,"Universal Health Services, Inc.",14.21,Buy
72.5,2,2,8,HPQ,HP Inc.,9.15,Buy
72.49,3,1,11,DXCM,"DexCom, Inc.",29.11,Buy
72.47,3,2,5,PLT,"Plantronics, Inc.",14.02,Buy
72.46,2,2,8,PENN,"Penn National Gaming, Inc.",8.95,Buy
72.45,4,1,7,VG,Vonage Holdings Corp.,27.25,Buy
72.44,2,2,7,EXPE,"Expedia, Inc.",2.19,Buy
72.44,3,2,5,IDTI,"Integrated Device Technology, Inc.",13.85,Buy
72.44,3,2,5,LAD,"Lithia Motors, Inc.",13.86,Buy
72.42,3,2,6,KEP,Korea Electric Power Corporation,20.42,Buy
72.4,3,2,5,MLM,"Martin Marietta Materials, Inc.",13.66,Buy
72.38,3,2,5,RS,Reliance Steel & Aluminum Co.,13.58,Buy
72.37,3,2,17,VST,Vistra Energy Corp.,14.46,Buy
72.36,3,2,5,HELE,Helen of Troy Limited,13.49,Buy
72.36,4,1,5,FOE,Ferro Corporation,13.45,Buy
72.34,2,1,11,HUBS,"HubSpot, Inc.",3.38,Buy
72.33,3,2,9,ETP,"Energy Transfer Partners, L.P.",40.0,Buy
72.32,3,2,5,MDXG,"MiMedx Group, Inc",13.26,Buy
72.27,3,2,4,ZBH,"Zimmer Biomet Holdings, Inc.",6.37,Buy
72.25,3,2,5,BAC,Bank of America Corporation,12.92,Buy
72.24,3,1,8,CALD,"Callidus Software, Inc.",7.88,Buy
72.24,3,2,4,AME,"AMTEK, Inc.",6.19,Buy
72.22,3,2,3,G,Genpact Limited,-0.56,Buy
72.21,2,2,9,OMF,"OneMain Holdings, Inc.",14.37,Buy
72.2,2,2,8,CONE,CyrusOne Inc,7.69,Buy
72.12,3,1,8,HAWK,"Blackhawk Network Holdings, Inc.",7.26,Buy
72.11,2,2,6,PYPL,"PayPal Holdings, Inc.",-6.11,Buy
72.11,3,2,6,VLP,Valero Energy Partners LP,18.89,Buy
72.09,3,2,5,ORA,"Ormat Technologies, Inc.",12.12,Buy
72.09,3,1,8,THS,"Treehouse Foods, Inc.",7.1,Buy
72.09,2,2,8,VER,VEREIT Inc.,7.14,Buy
72.08,4,1,4,AMT,American Tower Corporation (REIT),5.42,Buy
72.08,3,2,5,MTZ,"MasTec, Inc.",12.06,Buy
72.07,3,2,7,ATNI,"ATN International, Inc.",25.36,Buy
72.06,3,2,4,ASH,Ashland Global Holdings Inc.,5.28,Buy
72.06,3,1,9,EVH,"Evolent Health, Inc",13.64,Buy
72.06,3,2,17,SMFG,Sumitomo Mitsui Financial Group Inc,13.22,Buy
72.05,3,2,17,CBS,CBS Corporation,13.19,Buy
72.03,1,2,17,JELD,"JELD-WEN Holding, Inc.",13.1,Hold
72.01,3,2,5,BIIB,Biogen Inc.,11.7,Buy
72.01,3,2,5,PACW,PacWest Bancorp,11.73,Buy
72.01,3,2,3,MC,Moelis & Company,-1.6,Buy
