WOC Score,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
80.7,WSFS,WSFS Financial Corporation,1.7,3,2,1,2,WSFS,WSFS Financial Corporation,14.04,Buy
80.61,EPAM,"EPAM Systems, Inc.",1.8,2,1,6,5,EPAM,"EPAM Systems, Inc.",5.31,Buy
80.58,SLM,SLM Corporation,1.6,4,1,1,5,SLM,SLM Corporation,30.75,Buy
80.58,BPY,Brookfield Property Partners L.P.,1.8,1,1,6,9,BPY,Brookfield Property Partners L.P.,6.82,Buy
80.56,RRC,Range Resources Corporation,2,1,2,6,11,RRC,Range Resources Corporation,60.04,Buy
80.56,SLCA,"U.S. Silica Holdings, Inc.",1.8,3,1,6,8,SLCA,"U.S. Silica Holdings, Inc.",72.35,Buy
80.53,IPGP,IPG Photonics Corporation,1.9,2,2,1.4,2,IPGP,IPG Photonics Corporation,2.89,Buy
80.51,HON,Honeywell International Inc.,1.8,2,2,6,1,HON,Honeywell International Inc.,3.08,Buy
80.41,TPC,Tutor Perini Corporation,1.8,3,1,6,7,TPC,Tutor Perini Corporation,42.46,Buy
80.4,TTMI,"TTM Technologies, Inc.",1.5,3,1,6,5,TTMI,"TTM Technologies, Inc.",21.54,Buy
80.36,WPPGY,WPP plc,1.7,2,2,2,17,WPPGY,WPP plc,24.69,Buy
80.34,MBI,"MBIA, Inc.",2,1,2,6,10,MBI,"MBIA, Inc.",42.02,Buy
80.33,TLK,"PT Telekomunikasi Indonesia, Tbk",3,1,2,6,1,TLK,"PT Telekomunikasi Indonesia, Tbk",7.01,Buy
80.26,MFC,Manulife Financial Corp,1.5,2,2,6,3,MFC,Manulife Financial Corp,7.42,Buy
80.23,TIG,TiGenix,2,3,1,1,17,TIG,TiGenix,6.35,Buy
80.18,AM,Antero Midstream Partners LP,1.5,3,1,6,5,AM,Antero Midstream Partners LP,20.23,Buy
80.17,SPGI,S&P Global Inc.,2,2,1,6,4,SPGI,S&P Global Inc.,1,Buy
80.12,ACAD,ACADIA Pharmaceuticals Inc.,1.9,3,1,1,11,ACAD,ACADIA Pharmaceuticals Inc.,59.31,Buy
80.12,MA,Mastercard Incorporated,1.9,2,2,6,1,MA,Mastercard Incorporated,3.2,Buy
80.08,ICE,Intercontinental Exchange Inc.,2,2,2,6,1,ICE,Intercontinental Exchange Inc.,5.47,Buy
80.07,SBCF,Seacoast Banking Corporation of Florida,2.1,2,2,1,5,SBCF,Seacoast Banking Corporation of Florida,14.65,Buy
80.03,NOMD,Nomad Foods Limited,2,1,1,6,11,NOMD,Nomad Foods Limited,21.86,Buy
80,IIVI,II-VI Incorporated,2.3,3,1,1,3,IIVI,II-VI Incorporated,5.82,Buy
79.99,BBU,Brookfield Business Partners L.P.,2,1,1,6,8,BBU,Brookfield Business Partners L.P.,1.61,Buy
79.96,DBVT,DBV Technologies S.A.,1.6,4,1,1,17,DBVT,DBV Technologies S.A.,19.79,Buy
79.94,AMWD,American Woodmark Corporation,1.5,2,2,2,2,AMWD,American Woodmark Corporation,3.76,Buy
79.92,WNS,WNS (Holdings) Limited,1.5,3,1,6,4,WNS,WNS (Holdings) Limited,12.04,Buy
79.86,MNK,Mallinckrodt plc,1.7,3,1,6,9,MNK,Mallinckrodt plc,52.51,Buy
79.86,IX,Orix Corp Ads,1,3,1,2.7,5,IX,Orix Corp Ads,28.17,Buy
79.85,COO,"Cooper Companies, Inc. (The)",1.9,2,2,6,1,COO,"Cooper Companies, Inc. (The)",1.58,Buy
79.85,INN,"Summit Hotel Properties, Inc.",1.8,2,2,6,3,INN,"Summit Hotel Properties, Inc.",12.42,Buy
79.82,TER,"Teradyne, Inc.",2.1,2,2,6,2,TER,"Teradyne, Inc.",13.11,Buy
79.81,ILG,"ILG, Inc",1.6,3,1,1,4,ILG,"ILG, Inc",13.88,
79.81,SKYW,"SkyWest, Inc.",2,2,2,1,6,SKYW,"SkyWest, Inc.",17.02,Buy
79.8,ULTA,"Ulta Beauty, Inc.",2.1,2,2,1.8,5,ULTA,"Ulta Beauty, Inc.",32.74,Buy
79.73,FNF,"Fidelity National Financial, Inc.",2,2,2,6,1,FNF,"Fidelity National Financial, Inc.",3.39,Buy
79.72,AGRO,Adecoagro S.A.,2,3,1,6,8,AGRO,Adecoagro S.A.,54.69,Buy
79.7,BYSI,"BeyondSpring, Inc.",2,4,1,1,17,BYSI,"BeyondSpring, Inc.",28.17,Buy
79.68,QVCA,Liberty Interactive Corporation,1.8,3,1,1.7,17,QVCA,Liberty Interactive Corporation,15.56,Buy
79.66,TEDU,"Tarena International, Inc.",1.9,3,1,1,6,TEDU,"Tarena International, Inc.",13.46,Buy
79.64,MPWR,"Monolithic Power Systems, Inc.",1.8,3,1,1,4,MPWR,"Monolithic Power Systems, Inc.",-2.55,Buy
79.63,SATS,EchoStar Corporation,1.5,3,1,6,5,SATS,EchoStar Corporation,16.96,Buy
79.6,SNA,Snap-On Incorporated,1,3,2,6,5,SNA,Snap-On Incorporated,29.24,Buy
79.57,AIMC,Altra Industrial Motion Corp.,2.2,1,2,6,5,AIMC,Altra Industrial Motion Corp.,9.09,Buy
79.57,CHA,China Telecom Corp Ltd,1,2,2,6,8,CHA,China Telecom Corp Ltd,24.06,Buy
79.52,VOD,Vodafone Group Plc,2,1,2,2.2,17,VOD,Vodafone Group Plc,7.14,Buy
79.48,CI,Cigna Corporation,1.9,2,2,6,2,CI,Cigna Corporation,6.05,Buy
79.47,CBG,"CBRE Group, Inc.",1.9,1,2,6,5,CBG,"CBRE Group, Inc.",0.98,Buy
79.47,STZ,Constellation Brands Inc,2.1,2,2,6,2,STZ,Constellation Brands Inc,11,Buy
79.47,NUE,Nucor Corporation,2,3,1,6,4,NUE,Nucor Corporation,21.82,Buy
79.46,JBLU,JetBlue Airways Corporation,2.6,1,2,1.8,5,JBLU,JetBlue Airways Corporation,17.86,Buy
79.42,CBM,Cambrex Corporation,1.5,3,1,6,4,CBM,Cambrex Corporation,8.99,Buy
