Rating,Ticker,Company Name,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Projected Change % in 12 Months,CNN Recommendation
78.54,AMSF,"AMERISAFE, Inc.",2.30,2,2,6,5,19.38,1
78.51,CY,Cypress Semiconductor Corporation,2.20,2,2,2.0,6,29.41,1
78.51,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",1.90,2,1,6,8,14.21,1
78.5,ITRI,"Itron, Inc.",1.90,2,2,1.5,5,10.17,1
78.48,LILAK,Liberty Global plc,2.00,1,6,1.5999999999999996,10,17.42,1
78.48,WAGE,"WageWorks, Inc.",1.90,4,1,6,5,44.09,1
78.45,EVHC,Envision Healthcare Corporation,1.60,3,1,6,8,38.94,1
78.44,TJX,"TJX Companies, Inc. (The)",2.10,3,1,6,5,18.86,1
78.42,ARRY,Array BioPharma Inc.,1.80,3,1,1.0,11,37.2,1
78.4,CDW,CDW Corporation,1.90,3,2,1.0,4,15.42,1
78.36,AAV,Advantage Oil & Gas Ltd,2.20,3,1,6,6,25.12,1
78.36,AMT,American Tower Corporation (REIT),1.70,3,1,6,3,5.13,1
78.36,POST,"Post Holdings, Inc.",1.80,1,2,6,8,13.45,1
78.34,AMWD,American Woodmark Corporation,2.00,3,2,2.0,2,26.71,1
78.33,MDR,"McDermott International, Inc.",2.50,3,2,6,6,51.1,1
78.3,RRR,"Red Rock Resorts, Inc.",3.00,3,1,1.0,8,16.44,1
78.29,MLM,"Martin Marietta Materials, Inc.",6,3,2,6,2,23.12,1
78.26,PWR,"Quanta Services, Inc.",1.70,3,1,6,6,24.64,1
78.24,MTSI,"MACOM Technology Solutions Holdings, Inc.",1.90,4,1,1.0,8,41.11,1
78.23,BFAM,Bright Horizons Family Solutions Inc.,2.20,2,2,6,3,4.46,1
78.19,BUFF,"Blue Buffalo Pet Products, Inc.",1.90,3,1,1.2999999999999998,6,9.96,1
78.19,BDC,Belden Inc,2.00,2,2,6,5,17.64,1
