Top of The Market Rating,Yahoo (1-5)Zacks (1-5),Wall Street Journal Rating (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
79.88,2.1,2,2,5,ULTA,"Ulta Beauty, Inc.",33.47,Buy
79.87,2.0,2,2,1,CCL,Carnival Corporation,4.2,Buy
79.86,1.7,3,1,9,MNK,Mallinckrodt plc,50.76,Buy
79.8,2.0,1,2,8,EGHT,8x8 Inc,25.44,Buy
79.78,2.0,1,6,9,HRG,"HRG Group, Inc.",27.24,Buy
79.77,2.5,1,2,5,JBLU,JetBlue Airways Corporation,17.81,Buy
79.77,1.8,3,1,7,TPC,Tutor Perini Corporation,38.59,Buy
79.76,2.0,1,1,8,BBU,Brookfield Business Partners L.P.,0.21,Buy
79.75,1.5,3,1,4,CBM,Cambrex Corporation,11.02,Buy
79.74,1.5,3,1,17,SCI,Service Corporation International,11.21,Buy
79.73,1.0,2,2,8,CHA,China Telecom Corp Ltd,25.07,Buy
79.73,2.3,1,2,17,LXFT,"Luxoft Holding, Inc.",6.17,Buy
79.72,2.0,3,1,8,AGRO,Adecoagro S.A.,52.91,Buy
79.71,2.3,1,2,1,ASML,ASML Holding N.V.,-14.26,Buy
79.69,1.6,3,6,4,CBPO,"China Biologic Products, Inc.",33.47,Buy
79.67,1.7,3,1,3,STMP,Stamps.com Inc.,8.83,Buy
79.59,2.1,2,2,2,STZ,Constellation Brands Inc,11.7,Buy
79.58,1.5,3,1,5,SATS,EchoStar Corporation,16.64,Buy
79.57,1.6,4,1,17,WRD,WildHorse Resource Development Corporation,37.83,Buy
79.48,1.0,2,2,17,WBK,Westpac Banking Corporation,-2.6,Buy
79.45,1.9,3,1,2,SSNC,"SS&C Technologies Holdings, Inc.",5.85,Buy
79.42,1.5,3,1,4,WNS,WNS (Holdings) Limited,9.04,Buy
79.39,6,1,2,8,LBTYK,Liberty Global plc,18.6,Buy
79.38,1.9,2,2,2,CI,Cigna Corporation,5.43,Buy
79.38,1.9,3,1,5,MIC,Macquarie Infrastructure Company,25.43,Buy
79.37,1.3,3,1,5,USCR,"U S Concrete, Inc.",10.39,Buy
79.36,2.0,3,1,4,NUE,Nucor Corporation,21.14,Buy
79.35,1.8,2,1,8,HQY,"HealthEquity, Inc.",17.78,Buy
79.35,1.8,2,1,5,EDU,"New Oriental Education & Technology Group, Inc.",-2.26,Buy
