Top of The Market Rating,Yahoo (1-5),Zacks (1-5),Wall Street Journal Rating (1-5),MorningStar (1-5),Street Rank (1-16),Ticker,Company Name,Projected Change % in 12 Months,CNN Recommendation
81.28,2.0,1,2,6,5,PKX,POSCO,14.34,Buy
81.27,2.0,1,2,6,3,IBA,"Industrias Bachoco, S.A. de C.V.",0.95,Buy
81.26,2.3,2,2,1.0,2,ETFC,E*TRADE Financial Corporation,7.98,Buy
81.25,2.1,2,2,2.0,2,CRUS,"Cirrus Logic, Inc.",27.94,Buy
81.24,2.0,2,2,6,1,EME,"EMCOR Group, Inc.",12.43,Buy
81.23,1.7,3,1,1.0,17,TTD,"The Trade Desk, Inc.",4.89,Buy
81.21,2.0,2,1,6,4,SPGI,S&P Global Inc.,7.26,Buy
81.05,2.3,3,1,1.0,3,IIVI,II-VI Incorporated,13.15,Buy
81.05,2.1,1,2,6,4,RHT,"Red Hat, Inc.",8.78,Buy
80.98,1.9,2,2,1.5,2,IPAR,"Inter Parfums, Inc.",8.53,Buy
80.95,1.9,1,2,6,5,CBG,"CBRE Group, Inc.",9.86,Buy
80.95,1.8,3,1,6,7,TPC,Tutor Perini Corporation,45.71,Buy
80.9,1.9,2,2,6,2,HD,"Home Depot, Inc. (The)",14.57,Buy
80.89,1.7,3,2,1.0,2,WSFS,WSFS Financial Corporation,15.43,Buy
80.89,1.6,3,1,6,5,FLT,"FleetCor Technologies, Inc.",27.01,Buy
80.89,1.9,2,2,6,1,MA,Mastercard Incorporated,7.84,Buy
80.85,1.6,3,1,1.0,17,LOXO,"Loxo Oncology, Inc.",0.11,Buy
80.84,1.8,1,1,6,8,LYV,"Live Nation Entertainment, Inc.",1.71,Buy
80.82,2.1,2,2,1.2999999999999998,3,SWKS,"Skyworks Solutions, Inc.",14.09,Buy
80.82,1.6,4,1,1.0,5,SLM,SLM Corporation,32.42,Buy
80.81,1.0,1,2,6,9,TI,Telecom Italia S.P.A.,13.19,Buy
80.72,2.0,2,2,6,1,PH,Parker-Hannifin Corporation,9.3,Buy
80.69,1.5,3,6,1.0,9,GLNG,Golar LNG Limited,60.36,Buy
80.65,2.1,2,2,6,2,TER,"Teradyne, Inc.",18.05,Buy
80.63,2.0,3,1,2.0,17,CLVS,"Clovis Oncology, Inc.",33.76,Buy
80.56,2.0,1,2,6,11,RRC,Range Resources Corporation,90.16,Buy
80.56,1.8,3,1,6,8,SLCA,"U.S. Silica Holdings, Inc.",79.66,Buy
80.5,1.9,2,1,1.4000000000000004,8,HAWK,"Blackhawk Network Holdings, Inc.",17.65,Buy
80.46,1.5,2,2,6,3,MFC,Manulife Financial Corp,8.6,Buy
80.45,1.8,3,1,1.4000000000000004,3,IAC,IAC/InterActiveCorp,6.46,Buy
80.45,2.0,1,1,6,11,NOMD,Nomad Foods Limited,24.39,Buy
